method,time,variable,stock
msy,1,state,0.7474747474747475
msy,2,state,0.671919191919192
msy,3,state,0.6060606060606061
msy,4,state,0.5454545454545455
msy,5,state,0.4921212121212122
msy,6,state,0.46060606060606063
msy,7,state,0.4048484848484849
msy,8,state,0.3486868686868687
msy,9,state,0.29131313131313136
msy,10,state,0.261010101010101
msy,11,state,0.23474747474747476
msy,12,state,0.21535353535353538
msy,13,state,0.19272727272727275
msy,14,state,0.1692929292929293
msy,15,state,0.15636363636363637
msy,16,state,0.14545454545454548
msy,17,state,0.13737373737373737
msy,18,state,0.1276767676767677
msy,19,state,0.11070707070707071
msy,20,state,0.10383838383838384
msy,21,state,0.09818181818181819
msy,22,state,0.09131313131313132
msy,23,state,0.0795959595959596
msy,24,state,0.07313131313131313
msy,25,state,0.061010101010101014
msy,26,state,0.05333333333333334
msy,27,state,0.04565656565656566
msy,28,state,0.05050505050505051
msy,29,state,0.04888888888888889
msy,30,state,0.040808080808080814
msy,31,state,0.04202020202020203
msy,32,state,0.03474747474747475
msy,33,state,0.02666666666666667
msy,34,state,0.022222222222222223
msy,35,state,0.020202020202020204
msy,36,state,0.012929292929292931
msy,37,state,0.01575757575757576
msy,38,state,0.013333333333333334
msy,39,state,0.010101010101010102
msy,40,state,0.009292929292929294
msy,41,state,0.007272727272727273
msy,42,state,0.005252525252525253
msy,43,state,0.004040404040404041
msy,44,state,8.080808080808082e-4
msy,45,state,0
msy,46,state,0
msy,47,state,0
msy,48,state,0
msy,49,state,0
msy,50,state,0
msy,51,state,0
msy,52,state,0
msy,53,state,0
msy,54,state,0
msy,55,state,0
msy,56,state,0
msy,57,state,0
msy,58,state,0
msy,59,state,0
msy,60,state,0
msy,61,state,0
msy,62,state,0
msy,63,state,0
msy,64,state,0
msy,65,state,0
msy,66,state,0
msy,67,state,0
msy,68,state,0
msy,69,state,0
msy,70,state,0
msy,71,state,0
msy,72,state,0
msy,73,state,0
msy,74,state,0
msy,75,state,0
msy,76,state,0
msy,77,state,0
msy,78,state,0
msy,79,state,0
msy,80,state,0
